id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53927930,Ferienwohnung Kings (63qm) mit Küche und kostenfreiem WLAN (Ferienwohnung Kings),275262911,Elena,,Neubau,48.20063,16.341,Private room,69,1,0,,,3,304,0,
53928035,Ferienwohnung Urban-Loritz (70qm) mit kostenfreiem WLAN (Ferienwohnung Urban-Loritz),275262911,Elena,,Neubau,48.20142,16.34099,Private room,79,1,0,,,3,330,0,
53928076,Ferienwohnung Klimt (63qm) mit kostenfreiem WLAN (Ferienwohnung Klimt),275262911,Elena,,Neubau,48.19929,16.33978,Private room,58,1,0,,,3,306,0,
53607600,D27 City Apartment close to city center,51562386,Karim,,Rudolfsheim-Fnfhaus,48.20049,16.32503,Entire home/apt,30,28,4,2022-09-09,0.37,19,353,4,
53616384,Schönes Zimmer in Wien,261116550,Johanna,,Alsergrund,48.23006,16.3551,Private room,60,6,0,,,1,358,0,
54290668,✔  Apartment in a quiet area of Vienna with excellent traffic intersection,440121334,Roman,,Meidling,48.18426,16.34072,Entire home/apt,92,1,24,2022-12-10,2.47,3,353,24,
53621410,Feel like viennese in the beautiful 9th district,252683008,Martin,,Alsergrund,48.22373,16.36524,Private room,30,2,4,2022-04-23,0.34,1,0,4,
53627797,Superior Apartment & Rooftop Pool,181318847,Ana Und Vladimir,,Landstra§e,48.19372,16.41116,Entire home/apt,126,3,0,,,1,216,0,
53931183,Comfortable studio apartment,436883702,Mariya,,Neubau,48.20655,16.33933,Entire home/apt,50,3,0,,,4,337,0,
54299275,✔ New stylish and cozy apartment 35m² in calm district - Maidling,440121334,Roman,,Meidling,48.18459,16.33996,Entire home/apt,89,1,14,2022-08-21,1.40,3,354,14,
54300492,Serviced Apartment (central location),48613055,Lukas,,Rudolfsheim-Fnfhaus,48.18792,16.33658,Entire home/apt,29,7,0,,,2,148,0,
53934467,Bright 3-room apartment,436883702,Mariya,,Neubau,48.20767,16.33924,Entire home/apt,60,3,30,2022-12-04,2.60,4,4,30,
53935460,Bright and Cozy 3 - Room Apartment,436883702,Mariya,,Neubau,48.20606,16.33794,Entire home/apt,60,2,41,2022-12-11,4.57,4,7,41,
53935466,Comfortable 2 Rooms Apartment,436883702,Mariya,,Neubau,48.2062,16.33742,Entire home/apt,55,2,27,2022-12-11,3.27,4,18,27,
53937152,Exclusive Condo with Pool and Terrace,249583292,Diana,,Landstra§e,48.19374,16.41152,Entire home/apt,112,1,48,2022-11-11,4.10,19,74,48,
53636635,"Landstraße 2BR w/ Elevator, nr Botanischer Garten",385064248,Blueground,,Landstra§e,48.1938653,16.3863069,Entire home/apt,126,30,0,,,234,280,0,
53636643,"Landstraße 1BR w/ Elevator, nr Schloss Belvedere",385064248,Blueground,,Landstra§e,48.1922598,16.3888358,Entire home/apt,98,30,1,2022-04-04,0.12,234,163,1,
53651412,Single room,434349410,Hotel Altmann,,Liesing,48.1377,16.25099,Private room,61,1,0,,,3,335,0,
54308739,STEPAN APARTMENT *7 in front of Castle Schönbrunn,78932922,Stefanie,,Penzing,48.188213,16.311392,Entire home/apt,123,1,19,2022-11-01,1.75,4,315,19,
53651498,Double room,434349410,Hotel Altmann,,Liesing,48.13746,16.25091,Private room,73,1,0,,,3,335,0,
53651525,Triple room,434349410,Hotel Altmann,,Liesing,48.13629,16.24929,Private room,89,1,0,,,3,335,0,
53937523,New/AC! Modern studio – next to station Meidling,253830296,Hannes,,Meidling,48.172279,16.328939,Entire home/apt,94,6,30,2022-11-26,2.60,2,112,30,
53944495,Top located Apartment with shared- terrace,54301002,Pia,,Favoriten,48.17176,16.36528,Entire home/apt,66,2,23,2022-11-22,1.99,36,324,23,
54322372,Loft in historischem Gebäude,116686453,Elisabeth,,Leopoldstadt,48.21907,16.37782,Entire home/apt,189,2,35,2022-12-11,3.47,1,283,35,
53944792,Bianca Apartment 3 - with shared terrace,54301002,Pia,,Favoriten,48.17392,16.36307,Entire home/apt,66,2,34,2022-12-02,3.03,36,316,34,
53665547,Modernes Apartment mit top Anbindung,412596763,Renate,,Ottakring,48.21321,16.32626,Entire home/apt,89,2,48,2022-12-11,4.75,1,164,48,
54332305,Gartenwohnung mit Sauna in Top-Lage,418303223,Barbara,,Meidling,48.1764,16.33918,Entire home/apt,79,2,3,2022-08-20,0.36,1,73,3,
53681754,Gemütliches Haus mit 2 Parkplätzen in Wien,359422730,Daniela,,Floridsdorf,48.283817,16.428497,Entire home/apt,150,4,0,,,1,315,0,
53686313,"Zentrales, ruhiges & stylisches Cityapartment 🇦🇹",434801150,Julian,,Alsergrund,48.221375,16.349991,Entire home/apt,103,3,26,2022-11-27,3.18,1,168,26,
53691472,Apartment Erdberg Studio Deluxe,2816192,Martin,,Landstra§e,48.20061,16.39421,Entire home/apt,94,2,81,2022-11-27,6.71,94,119,81,
53692375,Central Station Wonderful Apartment with a Terrace,249583292,Diana,,Favoriten,48.17902,16.3869,Entire home/apt,113,1,14,2022-10-23,1.38,19,80,14,
53950999,80 qm Wohnung vis a vis Hundertwasserhaus,61486927,Manfred,,Landstra§e,48.20653,16.39452,Entire home/apt,94,3,7,2022-12-05,0.76,8,265,7,
54332992,Vienne : agréable chambre proche centre historique,440821702,Claude,,Margareten,48.18601,16.3528,Private room,46,1,44,2022-12-09,4.02,1,42,44,
53960300,Gorgeous 2 bedroom apartment in the Center - HS,9158703,Isabelle,,Innere Stadt,48.21244,16.36369,Entire home/apt,200,14,1,2022-03-28,0.11,17,233,1,
53692432,studio for a perfect stay in vienna,280891183,Kai,,Wieden,48.19745,16.37002,Entire home/apt,574,3,37,2022-12-07,3.08,16,180,37,
54335681,⍟King bed Apartment+Netflix⍟central and near metro,450691128,Mario,,Favoriten,48.17338,16.38493,Entire home/apt,105,1,17,2022-12-05,1.86,65,178,17,
53693829,Central Station Perfect Studio,249583292,Diana,,Favoriten,48.17899,16.38889,Entire home/apt,98,1,2,2022-08-21,0.23,19,78,2,
53697568,Zentrale Dachwohnung mit Balkon und Dachgarten,434901709,Isolde,,Wieden,48.19798,16.37338,Entire home/apt,600,3,1,2022-06-15,0.16,1,334,1,
53703898,Cozy apartment next to subway station,308688308,Chawa,,Ottakring,48.20666,16.33189,Entire home/apt,105,1,1,2022-06-05,0.16,12,346,1,
53960596,Bianca Apartment 2 - with shared terrace,54301002,Pia,,Favoriten,48.17276,16.36342,Entire home/apt,66,2,9,2022-10-24,1.12,36,216,9,
53963454,"Leopoldstadt 2BR w/ Rooftop & BBQ, nr Metro U2",385064248,Blueground,,Leopoldstadt,48.20587,16.43111,Entire home/apt,136,30,0,,,234,286,0,
53963461,"Margareten 1BR, nr Metro U4 & Buses",385064248,Blueground,,Margareten,48.1942369,16.3568302,Entire home/apt,90,30,1,2022-02-28,0.10,234,0,1,
54335724,⍟King bed Apartment and Netflix⍟central+near metro,450691128,Mario,,Favoriten,48.17562,16.3832,Entire home/apt,91,1,6,2022-11-16,0.57,65,165,6,
54335928,Apartment Favoritenstrasse Studio,2816192,Martin,,Favoriten,48.16676,16.37969,Entire home/apt,67,2,4,2022-07-17,0.50,94,127,4,
53976492,Schöne Wohnung in Top Lage,300408955,Milan,,Mariahilf,48.19622,16.34357,Entire home/apt,120,1,40,2022-12-11,3.68,1,79,40,
53989852,Beautiful homelike family Apartment - 3 bedrooms,271814839,Nina,,Dbling,48.24157,16.33615,Entire home/apt,80,3,0,,,1,0,0,
53716202,adorable 1BR with shared bathroom,404652017,Bakir,,Ottakring,48.20615,16.32816,Private room,75,1,8,2022-05-27,0.66,127,79,8,
53730245,MODERN VIENNA - Big apartment next to Augarten,27775775,Rene,,Brigittenau,48.22613,16.36804,Entire home/apt,78,1,67,2022-12-04,5.73,65,284,67,
54335933,Jimmys Apartments Lory-Executive 1-Bedroom Balcony,151274765,Jimmys,,Simmering,48.17749,16.40958,Entire home/apt,100,2,35,2022-11-20,3.83,17,357,35,
53746851,Smarte DG-Wohnung mit 2 Terrassen am Hauptbahnhof!,435306707,Sabine,,Favoriten,48.18356,16.37286,Entire home/apt,92,2,5,2022-10-15,0.60,1,340,5,
53995602,"""Frisierzimmer"" Lime Art Loft",3564972,Andre,,Mariahilf,48.19492,16.35104,Entire home/apt,63,2,67,2022-11-28,5.88,7,151,67,
